epsilon,rep,race,n,Accuracy
1.0,4,Hispanic,410,0.6292682926829268
1.0,4,Other,295,0.6542372881355932
1.0,5,AfricanAmerican,3821,0.6058623397016488
1.0,5,Asian,115,0.5478260869565217
1.0,5,Caucasian,14970,0.5901135604542418
1.0,5,Hispanic,410,0.573170731707317
1.0,5,Other,295,0.6135593220338983
1.0,6,AfricanAmerican,3821,0.6050772049201779
1.0,6,Asian,115,0.6
1.0,6,Caucasian,14970,0.5956579826319305
1.0,6,Hispanic,410,0.6585365853658537
1.0,6,Other,295,0.6372881355932203
1.0,7,AfricanAmerican,3821,0.6037686469510599
1.0,7,Asian,115,0.5826086956521739
1.0,7,Caucasian,14970,0.5926519706078824
1.0,7,Hispanic,410,0.6463414634146342
1.0,7,Other,295,0.6440677966101694
1.0,8,AfricanAmerican,3821,0.6087411672337084
1.0,8,Asian,115,0.5565217391304348
1.0,8,Caucasian,14970,0.6002672010688043
1.0,8,Hispanic,410,0.624390243902439
1.0,8,Other,295,0.6474576271186441
1.0,9,AfricanAmerican,3821,0.5982727034807642
1.0,9,Asian,115,0.5739130434782609
1.0,9,Caucasian,14970,0.5905811623246493
1.0,9,Hispanic,410,0.6634146341463415
1.0,9,Other,295,0.5932203389830508
1.0,10,AfricanAmerican,3821,0.6071708976707668
1.0,10,Asian,115,0.5217391304347826
1.0,10,Caucasian,14970,0.5965931863727455
1.0,10,Hispanic,410,0.6439024390243903
1.0,10,Other,295,0.6135593220338983
1.0,11,AfricanAmerican,3821,0.5925150484166448
1.0,11,Asian,115,0.591304347826087
1.0,11,Caucasian,14970,0.5802271209084836
1.0,11,Hispanic,410,0.6317073170731707
1.0,11,Other,295,0.6406779661016949
1.0,12,AfricanAmerican,3821,0.5914682020413504
1.0,12,Asian,115,0.6260869565217392
1.0,12,Caucasian,14970,0.5847695390781563
1.0,12,Hispanic,410,0.624390243902439
1.0,12,Other,295,0.6305084745762712
1.0,13,AfricanAmerican,3821,0.589112797696938
1.0,13,Asian,115,0.5652173913043478
1.0,13,Caucasian,14970,0.5947227788911156
1.0,13,Hispanic,410,0.651219512195122
1.0,13,Other,295,0.6474576271186441
1.0,14,AfricanAmerican,3821,0.5948704527610573
1.0,14,Asian,115,0.6260869565217392
1.0,14,Caucasian,14970,0.5851703406813628
