modelo,epsilon,rep,seed,Accuracy,F1-Score
Naive Bayes (Gaussian),10.0,14,19273,0.5905359237162817,0.5843691568288152
Regresión Logística,10.0,15,23131,0.615572892764265,0.6045567770934669
Naive Bayes (Gaussian),10.0,15,23131,0.5853857528937841,0.5853580935293132
Regresión Logística,10.0,16,29327,0.6178165315384223,0.6067791764544963
Naive Bayes (Gaussian),10.0,16,29327,0.5799806231196777,0.5801950767431909
Regresión Logística,10.0,17,31193,0.6184794248126052,0.6063265985306937
Naive Bayes (Gaussian),10.0,17,31193,0.5884962521034114,0.5884223277992133
Regresión Logística,10.0,18,33391,0.6197032277803274,0.6086562972681114
Naive Bayes (Gaussian),10.0,18,33391,0.5870684819744021,0.5833463551898405
Regresión Logística,10.0,19,37397,0.6177655397481006,0.6072834357891617
Naive Bayes (Gaussian),10.0,19,37397,0.5760542552649024,0.5753189932486732
