modelo,epsilon,rep,seed,Accuracy,F1-Score
Naive Bayes (Gaussian),1.0,1,137,0.5142012136046097,0.4988469585184437
Regresión Logística,1.0,2,271,0.4689205037988884,0.3670887699967013
Naive Bayes (Gaussian),1.0,2,271,0.5484167049105094,0.5480807137105739
Regresión Logística,1.0,3,314,0.47014430676661056,0.33116878647527553
Naive Bayes (Gaussian),1.0,3,314,0.5066544286369894,0.48982847528439494
Regresión Logística,1.0,4,1729,0.510325837540156,0.5104780969101207
Naive Bayes (Gaussian),1.0,4,1729,0.5408699199428892,0.5413514791800184
Regresión Logística,1.0,5,2718,0.5176686553464892,0.47565435089582847
Naive Bayes (Gaussian),1.0,5,2718,0.5357197491203917,0.5362470957991136
Regresión Logística,1.0,6,3141,0.5161898934271583,0.5071917572372608
Naive Bayes (Gaussian),1.0,6,3141,0.5288358574269543,0.5262719288346241
Regresión Logística,1.0,7,6022,0.5005864055887003,0.5006675970478224
Naive Bayes (Gaussian),1.0,7,6022,0.525929325378614,0.5172038887691408
Regresión Logística,1.0,8,8128,0.5138952628626791,0.51375434817388
Naive Bayes (Gaussian),1.0,8,8128,0.5601448166845138,0.5529788826069061
Regresión Logística,1.0,9,9999,0.46876752842792313,0.38269279917496285
Naive Bayes (Gaussian),1.0,9,9999,0.5350568558462088,0.5290408048743585
Regresión Logística,1.0,10,10007,0.5133343531691398,0.49579076970052544
Naive Bayes (Gaussian),1.0,10,10007,0.5361786752332874,0.5235433981592844
Regresión Logística,1.0,11,11113,0.47519249400846464,0.41337431666757357
Naive Bayes (Gaussian),1.0,11,11113,0.5201672530722554,0.5205608013199412
Regresión Logística,1.0,12,13121,0.4697363724440365,0.3126507159858544
Naive Bayes (Gaussian),1.0,12,13121,0.5577482025393912,0.5413082478859212
Regresión Logística,1.0,13,17171,0.5236856866044567,0.5136927370153579
Naive Bayes (Gaussian),1.0,13,17171,0.5309775126204681,0.5204653057374572
Regresión Logística,1.0,14,19273,0.5192494008464638,0.47129941691499794
Naive Bayes (Gaussian),1.0,14,19273,0.5024731018306052,0.4556130079965619
Regresión Logística,1.0,15,23131,0.5181275814593851,0.5019701737096104
Naive Bayes (Gaussian),1.0,15,23131,0.5369435520881138,0.5374706104943616
Regresión Logística,1.0,16,29327,0.46550405384733057,0.33918790014352906
Naive Bayes (Gaussian),1.0,16,29327,0.5238896537657437,0.46059376519818057
Regresión Logística,1.0,17,31193,0.4801386976696752,0.46508906676871464
Naive Bayes (Gaussian),1.0,17,31193,0.5480597623782572,0.5481130495320805
Regresión Logística,1.0,18,33391,0.46581000458926114,0.333050738269169
Naive Bayes (Gaussian),1.0,18,33391,0.5294987507011372,0.5158756063040091
Regresión Logística,1.0,19,37397,0.5317423894752945,0.3753458241005757
Naive Bayes (Gaussian),1.0,19,37397,0.5308755290398246,0.5278960564048142
Regresión Logística,10.0,0,42,0.47350976492784663,0.43992090855995464
Naive Bayes (Gaussian),10.0,0,42,0.5858446790066799,0.581873150778119
Regresión Logística,10.0,1,137,0.5303146193462852,0.4872934024870897
Naive Bayes (Gaussian),10.0,1,137,0.5888531946356637,0.5886818739837897
Regresión Logística,10.0,2,271,0.46810463515374023,0.36416921545056263
Naive Bayes (Gaussian),10.0,2,271,0.5863545969098976,0.5850052990476096
