epsilon,rep,race,n,Accuracy
1.0,3,AfricanAmerican,3821,0.4815493326354357
1.0,3,Asian,115,0.4956521739130435
1.0,3,Caucasian,14970,0.5099532398129593
1.0,3,Hispanic,410,0.5073170731707317
1.0,3,Other,295,0.4406779661016949
1.0,4,AfricanAmerican,3821,0.4750065427898456
1.0,4,Asian,115,0.4
1.0,4,Caucasian,14970,0.492251169004676
1.0,4,Hispanic,410,0.5317073170731708
1.0,4,Other,295,0.4033898305084746
1.0,5,AfricanAmerican,3821,0.5234231876472127
1.0,5,Asian,115,0.5217391304347826
1.0,5,Caucasian,14970,0.5113560454241817
1.0,5,Hispanic,410,0.5414634146341464
1.0,5,Other,295,0.5796610169491525
1.0,6,AfricanAmerican,3821,0.5137398586757393
1.0,6,Asian,115,0.4956521739130435
1.0,6,Caucasian,14970,0.5092852371409485
1.0,6,Hispanic,410,0.5487804878048781
1.0,6,Other,295,0.5661016949152542
1.0,7,AfricanAmerican,3821,0.4828578906045538
1.0,7,Asian,115,0.4521739130434782
1.0,7,Caucasian,14970,0.5025384101536406
1.0,7,Hispanic,410,0.4902439024390244
1.0,7,Other,295,0.5050847457627119
1.0,8,AfricanAmerican,3821,0.4956817587019105
1.0,8,Asian,115,0.5391304347826087
1.0,8,Caucasian,14970,0.5080160320641283
1.0,8,Hispanic,410,0.5
1.0,8,Other,295,0.5050847457627119
1.0,9,AfricanAmerican,3821,0.4697723109133734
1.0,9,Asian,115,0.4
1.0,9,Caucasian,14970,0.4724782899131596
1.0,9,Hispanic,410,0.4536585365853658
1.0,9,Other,295,0.4406779661016949
1.0,10,AfricanAmerican,3821,0.4891389688563203
1.0,10,Asian,115,0.5739130434782609
1.0,10,Caucasian,14970,0.5227120908483633
1.0,10,Hispanic,410,0.5048780487804878
1.0,10,Other,295,0.5322033898305085
1.0,11,AfricanAmerican,3821,0.4925412195760272
1.0,11,Asian,115,0.4
1.0,11,Caucasian,14970,0.5007348029392118
1.0,11,Hispanic,410,0.4414634146341463
1.0,11,Other,295,0.4203389830508474
1.0,12,AfricanAmerican,3821,0.5176655325830934
1.0,12,Asian,115,0.5652173913043478
1.0,12,Caucasian,14970,0.5126920507682031
1.0,12,Hispanic,410,0.5219512195121951
1.0,12,Other,295,0.535593220338983
1.0,13,AfricanAmerican,3821,0.5234231876472127
1.0,13,Asian,115,0.5826086956521739
1.0,13,Caucasian,14970,0.5237808951235805
1.0,13,Hispanic,410,0.573170731707317
1.0,13,Other,295,0.5423728813559322
1.0,14,AfricanAmerican,3821,0.4904475268254383
1.0,14,Asian,115,0.4782608695652174
1.0,14,Caucasian,14970,0.5138276553106212
1.0,14,Hispanic,410,0.5170731707317073
1.0,14,Other,295,0.5491525423728814
1.0,15,AfricanAmerican,3821,0.4713425804763151
1.0,15,Asian,115,0.4
1.0,15,Caucasian,14970,0.4700734802939211
1.0,15,Hispanic,410,0.4219512195121951
1.0,15,Other,295,0.4203389830508474
1.0,16,AfricanAmerican,3821,0.4954200471080869
1.0,16,Asian,115,0.4869565217391304
1.0,16,Caucasian,14970,0.5091516366065464
1.0,16,Hispanic,410,0.5097560975609756
1.0,16,Other,295,0.4813559322033898
1.0,17,AfricanAmerican,3821,0.5132164354880921
1.0,17,Asian,115,0.4521739130434782
1.0,17,Caucasian,14970,0.5063460253841016
1.0,17,Hispanic,410,0.5463414634146342
1.0,17,Other,295,0.5288135593220339
1.0,18,AfricanAmerican,3821,0.467416906568961
1.0,18,Asian,115,0.408695652173913
1.0,18,Caucasian,14970,0.4762191048764195
1.0,18,Hispanic,410,0.4439024390243902
1.0,18,Other,295,0.4203389830508474
1.0,19,AfricanAmerican,3821,0.4794556398848469
1.0,19,Asian,115,0.5043478260869565
1.0,19,Caucasian,14970,0.5073480293921175
1.0,19,Hispanic,410,0.5365853658536586
1.0,19,Other,295,0.5525423728813559
5.0,0,AfricanAmerican,3821,0.4917560847945564
5.0,0,Asian,115,0.4695652173913043
5.0,0,Caucasian,14970,0.4871075484301937
5.0,0,Hispanic,410,0.5073170731707317
5.0,0,Other,295,0.4406779661016949
5.0,1,AfricanAmerican,3821,0.484689871761319
5.0,1,Asian,115,0.4608695652173913
5.0,1,Caucasian,14970,0.5012024048096192
5.0,1,Hispanic,410,0.5121951219512195
5.0,1,Other,295,0.5254237288135594
5.0,2,AfricanAmerican,3821,0.5302276890866265
5.0,2,Asian,115,0.5130434782608696
5.0,2,Caucasian,14970,0.5187708750835003
5.0,2,Hispanic,410,0.5463414634146342
5.0,2,Other,295,0.5220338983050847
5.0,3,AfricanAmerican,3821,0.5181889557707406
5.0,3,Asian,115,0.4521739130434782
5.0,3,Caucasian,14970,0.5149632598530394
5.0,3,Hispanic,410,0.526829268292683
5.0,3,Other,295,0.5152542372881356
5.0,4,AfricanAmerican,3821,0.4663700601936665
5.0,4,Asian,115,0.4347826086956521
5.0,4,Caucasian,14970,0.492251169004676
5.0,4,Hispanic,410,0.424390243902439
5.0,4,Other,295,0.4067796610169492
5.0,5,AfricanAmerican,3821,0.5304894006804501
5.0,5,Asian,115,0.5565217391304348
5.0,5,Caucasian,14970,0.5211756847027388
5.0,5,Hispanic,410,0.5878048780487805
5.0,5,Other,295,0.511864406779661
5.0,6,AfricanAmerican,3821,0.4702957341010206
5.0,6,Asian,115,0.4260869565217391
5.0,6,Caucasian,14970,0.4762191048764195
5.0,6,Hispanic,410,0.4317073170731707
5.0,6,Other,295,0.4033898305084746
5.0,7,AfricanAmerican,3821,0.5134781470819157
5.0,7,Asian,115,0.6086956521739131
5.0,7,Caucasian,14970,0.5332665330661323
5.0,7,Hispanic,410,0.5365853658536586
5.0,7,Other,295,0.6305084745762712
5.0,8,AfricanAmerican,3821,0.5171421093954462
5.0,8,Asian,115,0.5304347826086957
5.0,8,Caucasian,14970,0.5054776219104876
5.0,8,Hispanic,410,0.4975609756097561
5.0,8,Other,295,0.5084745762711864
5.0,9,AfricanAmerican,3821,0.5244700340225072
5.0,9,Asian,115,0.4434782608695652
5.0,9,Caucasian,14970,0.5142284569138277
5.0,9,Hispanic,410,0.5536585365853659
5.0,9,Other,295,0.4847457627118644
5.0,10,AfricanAmerican,3821,0.4941114891389688
5.0,10,Asian,115,0.5304347826086957
5.0,10,Caucasian,14970,0.5303941215764864
5.0,10,Hispanic,410,0.5317073170731708
5.0,10,Other,295,0.5050847457627119
5.0,11,AfricanAmerican,3821,0.5079822036116199
5.0,11,Asian,115,0.5739130434782609
5.0,11,Caucasian,14970,0.5264529058116233
5.0,11,Hispanic,410,0.5292682926829269
5.0,11,Other,295,0.5220338983050847
5.0,12,AfricanAmerican,3821,0.4857367181366134
5.0,12,Asian,115,0.4347826086956521
5.0,12,Caucasian,14970,0.4900467601870407
5.0,12,Hispanic,410,0.424390243902439
5.0,12,Other,295,0.4067796610169492
5.0,13,AfricanAmerican,3821,0.5058885108610311
5.0,13,Asian,115,0.5826086956521739
5.0,13,Caucasian,14970,0.4847027388109552
5.0,13,Hispanic,410,0.5317073170731708
5.0,13,Other,295,0.488135593220339
5.0,14,AfricanAmerican,3821,0.4828578906045538
5.0,14,Asian,115,0.4608695652173913
5.0,14,Caucasian,14970,0.4928523714094856
5.0,14,Hispanic,410,0.4219512195121951
5.0,14,Other,295,0.4338983050847457
5.0,15,AfricanAmerican,3821,0.5176655325830934
5.0,15,Asian,115,0.591304347826087
5.0,15,Caucasian,14970,0.5235136940547762
5.0,15,Hispanic,410,0.5439024390243903
5.0,15,Other,295,0.6033898305084746
5.0,16,AfricanAmerican,3821,0.5331065166186862
5.0,16,Asian,115,0.591304347826087
5.0,16,Caucasian,14970,0.5227788911155644
5.0,16,Hispanic,410,0.5951219512195122
5.0,16,Other,295,0.5559322033898305
5.0,17,AfricanAmerican,3821,0.5037948181104422
5.0,17,Asian,115,0.5217391304347826
5.0,17,Caucasian,14970,0.5101536406145625
5.0,17,Hispanic,410,0.4414634146341463
5.0,17,Other,295,0.5559322033898305
5.0,18,AfricanAmerican,3821,0.5150484166448573
5.0,18,Asian,115,0.5304347826086957
5.0,18,Caucasian,14970,0.4995991983967935
5.0,18,Hispanic,410,0.5439024390243903
5.0,18,Other,295,0.5288135593220339
