epsilon,rep,seed,epsilon_por_atributo,modelo,Accuracy,F1-Score
10.0,9,9999,0.23809523809523808,Regresión Logística,0.5265412268624752,0.5264149495497353
10.0,9,9999,0.23809523809523808,Naive Bayes (Gaussian),0.5236856866044567,0.45934540346756597
10.0,10,10007,0.23809523809523808,Regresión Logística,0.5339350364591301,0.5314611909454606
10.0,10,10007,0.23809523809523808,Naive Bayes (Gaussian),0.528478914894702,0.41370583083188717
10.0,11,11113,0.23809523809523808,Regresión Logística,0.5057365764111978,0.4740089882437798
10.0,11,11113,0.23809523809523808,Naive Bayes (Gaussian),0.4972209474274642,0.4711086748466541
10.0,12,13121,0.23809523809523808,Regresión Logística,0.5359747080720004,0.5016130186230795
10.0,12,13121,0.23809523809523808,Naive Bayes (Gaussian),0.5329152006526949,0.42851344309922373
10.0,13,17171,0.23809523809523808,Regresión Logística,0.5273061037173015,0.5277455347559701
10.0,13,17171,0.23809523809523808,Naive Bayes (Gaussian),0.5326602417010862,0.48855630358506547
10.0,14,19273,0.23809523809523808,Regresión Logística,0.5361786752332874,0.5366492542172808
10.0,14,19273,0.23809523809523808,Naive Bayes (Gaussian),0.5243485798786396,0.5086680635783434
10.0,15,23131,0.23809523809523808,Regresión Logística,0.5387282647493753,0.48247466157872365
10.0,15,23131,0.23809523809523808,Naive Bayes (Gaussian),0.5256233746366835,0.4772690342538471
10.0,16,29327,0.23809523809523808,Regresión Logística,0.5325072663301208,0.5056150534194481
10.0,16,29327,0.23809523809523808,Naive Bayes (Gaussian),0.5248584977818571,0.4566674285266388
10.0,17,31193,0.23809523809523808,Regresión Logística,0.4992096272500127,0.47207256024189626
10.0,17,31193,0.23809523809523808,Naive Bayes (Gaussian),0.5205751873948294,0.508568976865187
10.0,18,33391,0.23809523809523808,Regresión Logística,0.5390852072816277,0.46789391099938094
10.0,18,33391,0.23809523809523808,Naive Bayes (Gaussian),0.533323134975269,0.432369975138655
10.0,19,37397,0.23809523809523808,Regresión Logística,0.5096119524756514,0.508332976162701
10.0,19,37397,0.23809523809523808,Naive Bayes (Gaussian),0.5060935189434501,0.49929036378509073
20.0,0,42,0.47619047619047616,Regresión Logística,0.5486716638621182,0.5432678411025459
20.0,0,42,0.47619047619047616,Naive Bayes (Gaussian),0.5336800775075213,0.5104896246550126
20.0,1,137,0.47619047619047616,Regresión Logística,0.5401050430880628,0.48102205779762397
20.0,1,137,0.47619047619047616,Naive Bayes (Gaussian),0.5307225536688593,0.45250554522594916
20.0,2,271,0.47619047619047616,Regresión Logística,0.49360053031461937,0.42242314598768055
20.0,2,271,0.47619047619047616,Naive Bayes (Gaussian),0.49360053031461937,0.4529446759267105
20.0,3,314,0.47619047619047616,Regresión Logística,0.5441843863138035,0.5363265572650275
20.0,3,314,0.47619047619047616,Naive Bayes (Gaussian),0.5317933812656163,0.4518894051890201
20.0,4,1729,0.47619047619047616,Regresión Logística,0.5368925602977921,0.5279591964549639
20.0,4,1729,0.47619047619047616,Naive Bayes (Gaussian),0.5370965274590791,0.4991173278336674
20.0,5,2718,0.47619047619047616,Regresión Logística,0.550813319055632,0.5176217032826717
20.0,5,2718,0.47619047619047616,Naive Bayes (Gaussian),0.5362296670236092,0.4680084323945669
20.0,6,3141,0.47619047619047616,Regresión Logística,0.5355157819591045,0.5195343904987137
20.0,6,3141,0.47619047619047616,Naive Bayes (Gaussian),0.5132323695884963,0.5112621404759333
20.0,7,6022,0.47619047619047616,Regresión Logística,0.5439294273621947,0.4956346977936152
20.0,7,6022,0.47619047619047616,Naive Bayes (Gaussian),0.5331701596043037,0.425799403797164
20.0,8,8128,0.47619047619047616,Regresión Logística,0.5468869512008566,0.5465658947467129
20.0,8,8128,0.47619047619047616,Naive Bayes (Gaussian),0.5389832237009842,0.45931200592440447
20.0,9,9999,0.47619047619047616,Regresión Logística,0.5197593187496813,0.493674271789044
20.0,9,9999,0.47619047619047616,Naive Bayes (Gaussian),0.517515679975524,0.5177632617464768
20.0,10,10007,0.47619047619047616,Regresión Logística,0.542807607975116,0.5424303860637569
20.0,10,10007,0.47619047619047616,Naive Bayes (Gaussian),0.5307225536688593,0.5028861481774719
20.0,11,11113,0.47619047619047616,Regresión Logística,0.5425016572331854,0.5334810558067961
20.0,11,11113,0.47619047619047616,Naive Bayes (Gaussian),0.5258273417979705,0.4867148951685379
20.0,12,13121,0.47619047619047616,Regresión Logística,0.5431135587170466,0.508373979040452
20.0,12,13121,0.47619047619047616,Naive Bayes (Gaussian),0.5297027178624242,0.4772621229385405
20.0,13,17171,0.47619047619047616,Regresión Logística,0.5380653714751925,0.5377803312970478
20.0,13,17171,0.47619047619047616,Naive Bayes (Gaussian),0.5316913976849728,0.5196198691480393
20.0,14,19273,0.47619047619047616,Regresión Logística,0.547243893733109,0.5214339943309114
20.0,14,19273,0.47619047619047616,Naive Bayes (Gaussian),0.5387282647493753,0.5307167334119566
20.0,15,23131,0.47619047619047616,Regresión Logística,0.5358727244913569,0.5290085768332732
20.0,15,23131,0.47619047619047616,Naive Bayes (Gaussian),0.5069093875885983,0.4836077268641183
20.0,16,29327,0.47619047619047616,Regresión Logística,0.5511702615878844,0.5218075062072529
20.0,16,29327,0.47619047619047616,Naive Bayes (Gaussian),0.5329661924430167,0.5234614447417408
20.0,17,31193,0.47619047619047616,Regresión Logística,0.5395951251848452,0.51815420856751
20.0,17,31193,0.47619047619047616,Naive Bayes (Gaussian),0.527000152975371,0.4545464625096108
20.0,18,33391,0.47619047619047616,Regresión Logística,0.5497934832491969,0.5385111756629822
20.0,18,33391,0.47619047619047616,Naive Bayes (Gaussian),0.530365611136607,0.5294635055541222
20.0,19,37397,0.47619047619047616,Regresión Logística,0.5358727244913569,0.531074709642123
20.0,19,37397,0.47619047619047616,Naive Bayes (Gaussian),0.5235837030238132,0.4881378350018829
50.0,0,42,1.1904761904761905,Regresión Logística,0.5506603436846668,0.5510188483280934
50.0,0,42,1.1904761904761905,Naive Bayes (Gaussian),0.532456274539799,0.5280055501433631
50.0,1,137,1.1904761904761905,Regresión Logística,0.5557595227168426,0.5228911241125783
50.0,1,137,1.1904761904761905,Naive Bayes (Gaussian),0.5430115751364031,0.4794936812597508
50.0,2,271,1.1904761904761905,Regresión Logística,0.5517311712814237,0.5497226840523597
50.0,2,271,1.1904761904761905,Naive Bayes (Gaussian),0.5382693386364795,0.5387810678445752
50.0,3,314,1.1904761904761905,Regresión Logística,0.5486206720717964,0.5474336072710863
50.0,3,314,1.1904761904761905,Naive Bayes (Gaussian),0.5323032991688338,0.5258611621553636
50.0,4,1729,1.1904761904761905,Regresión Logística,0.5504563765233798,0.5498227606203536
50.0,4,1729,1.1904761904761905,Naive Bayes (Gaussian),0.5422976900718984,0.5359224985829921
50.0,5,2718,1.1904761904761905,Regresión Logística,0.5537198511039723,0.553165169958986
50.0,5,2718,1.1904761904761905,Naive Bayes (Gaussian),0.5477028198460048,0.5451957715908956
50.0,6,3141,1.1904761904761905,Regresión Logística,0.5497424914588751,0.5497378272195694
50.0,6,3141,1.1904761904761905,Naive Bayes (Gaussian),0.5387792565396972,0.5390214381875004
50.0,7,6022,1.1904761904761905,Regresión Logística,0.5439804191525165,0.5323142164022888
50.0,7,6022,1.1904761904761905,Naive Bayes (Gaussian),0.5509153026362755,0.5509972095124618
50.0,8,8128,1.1904761904761905,Regresión Logística,0.5526490235072153,0.5528951710647366
50.0,8,8128,1.1904761904761905,Naive Bayes (Gaussian),0.5486716638621182,0.5363193928856806
50.0,9,9999,1.1904761904761905,Regresión Logística,0.5500484422008056,0.5496773825081916
50.0,9,9999,1.1904761904761905,Naive Bayes (Gaussian),0.5389322319106624,0.5394568765518462
50.0,10,10007,1.1904761904761905,Regresión Logística,0.5432665340880118,0.5341619191613255
50.0,10,10007,1.1904761904761905,Naive Bayes (Gaussian),0.5386772729590535,0.538840239467226
50.0,11,11113,1.1904761904761905,Regresión Logística,0.5522410891846413,0.5506968933125793
50.0,11,11113,1.1904761904761905,Naive Bayes (Gaussian),0.5415838050073938,0.5298478357949461
50.0,12,13121,1.1904761904761905,Regresión Logística,0.550813319055632,0.5511291174357551
50.0,12,13121,1.1904761904761905,Naive Bayes (Gaussian),0.541736780378359,0.5339023368210283
50.0,13,17171,1.1904761904761905,Regresión Logística,0.5419917393299679,0.5353373064720525
50.0,13,17171,1.1904761904761905,Naive Bayes (Gaussian),0.542807607975116,0.543317048045016
50.0,14,19273,1.1904761904761905,Regresión Logística,0.5491305899750141,0.5495576094206174
50.0,14,19273,1.1904761904761905,Naive Bayes (Gaussian),0.5436744684105859,0.5387140998441019
50.0,15,23131,1.1904761904761905,Regresión Logística,0.5466829840395696,0.5471538498405617
50.0,15,23131,1.1904761904761905,Naive Bayes (Gaussian),0.5348018968946,0.5319864304105705
50.0,16,29327,1.1904761904761905,Regresión Logística,0.5519861302330324,0.5505795206272103
50.0,16,29327,1.1904761904761905,Naive Bayes (Gaussian),0.5453062057008822,0.5381686570957397
50.0,17,31193,1.1904761904761905,Regresión Logística,0.5366885931365051,0.531161411380078
50.0,17,31193,1.1904761904761905,Naive Bayes (Gaussian),0.5351078476365305,0.5326053326295789
50.0,18,33391,1.1904761904761905,Regresión Logística,0.544898271378308,0.5418153178059659
50.0,18,33391,1.1904761904761905,Naive Bayes (Gaussian),0.5363316506042527,0.5368426380548729
50.0,19,37397,1.1904761904761905,Regresión Logística,0.5484167049105094,0.5461373485672757
50.0,19,37397,1.1904761904761905,Naive Bayes (Gaussian),0.5371985110397226,0.5377216716720259
100.0,0,42,2.380952380952381,Regresión Logística,0.5585130793942176,0.5571362413657304
100.0,0,42,2.380952380952381,Naive Bayes (Gaussian),0.5414308296364285,0.5359114243169691
100.0,1,137,2.380952380952381,Regresión Logística,0.5713120187649788,0.5702570035484076
100.0,1,137,2.380952380952381,Naive Bayes (Gaussian),0.5577991943297129,0.5556753315167552
100.0,2,271,2.380952380952381,Regresión Logística,0.5593289480393656,0.5592615462100183
100.0,2,271,2.380952380952381,Naive Bayes (Gaussian),0.5519351384427107,0.5520830842372589
100.0,3,314,2.380952380952381,Regresión Logística,0.5621844882973841,0.5625236946205422
100.0,3,314,2.380952380952381,Naive Bayes (Gaussian),0.5570853092652083,0.5556767377620815
100.0,4,1729,2.380952380952381,Regresión Logística,0.5648870531844373,0.5648780181071259
100.0,4,1729,2.380952380952381,Naive Bayes (Gaussian),0.5518331548620672,0.5522250338424372
100.0,5,2718,2.380952380952381,Regresión Logística,0.5643771352812197,0.5640702636222671
100.0,5,2718,2.380952380952381,Naive Bayes (Gaussian),0.5539238182652593,0.5542384461055448
100.0,6,3141,2.380952380952381,Regresión Logística,0.5635102748457498,0.5631931999406444
100.0,6,3141,2.380952380952381,Naive Bayes (Gaussian),0.548926622813727,0.5472071174863045
100.0,7,6022,2.380952380952381,Regresión Logística,0.5624394472489929,0.5623081806522366
100.0,7,6022,2.380952380952381,Naive Bayes (Gaussian),0.5511192697975625,0.5492402623861281
100.0,8,8128,2.380952380952381,Regresión Logística,0.5659578807811942,0.5648054094972558
100.0,8,8128,2.380952380952381,Naive Bayes (Gaussian),0.5492835653459793,0.5492142902866999
100.0,9,9999,2.380952380952381,Regresión Logística,0.5657539136199072,0.5661117304871626
