escenario,victima,seed,utility_acc,attack_acc,attack_advantage,attack_auc,rate_member_predicted_1,rate_non_member_predicted_1
DP ε=0.1,Regresión Logística,17171,0.5267,0.6597,-0.0002,0.4966,0.9794,0.9796
DP ε=0.1,Regresión Logística,19273,0.5267,0.6619,0.0026,0.4914,0.983,0.9804
DP ε=0.1,Regresión Logística,23131,0.5267,0.6593,-0.0042,0.4951,0.9822,0.9864
DP ε=0.1,Regresión Logística,29327,0.5267,0.6616,0.0024,0.4926,0.9824,0.98
DP ε=0.1,Regresión Logística,31193,0.5267,0.6613,0.0026,0.4979,0.9814,0.9788
DP ε=0.1,Regresión Logística,33391,0.5267,0.6603,-0.0034,0.4881,0.9842,0.9876
DP ε=0.1,Regresión Logística,37397,0.5267,0.6629,0.0002,0.5097,0.9886,0.9884
DP ε=1.0,Regresión Logística,42,0.594,0.5448,-0.0244,0.488,0.6588,0.6832
DP ε=1.0,Regresión Logística,137,0.594,0.5472,-0.0072,0.4929,0.6488,0.656
DP ε=1.0,Regresión Logística,271,0.594,0.5583,0.0006,0.5018,0.6742,0.6736
DP ε=1.0,Regresión Logística,314,0.594,0.5632,0.0056,0.5033,0.684,0.6784
DP ε=1.0,Regresión Logística,1729,0.594,0.5607,0.0108,0.5054,0.6712,0.6604
DP ε=1.0,Regresión Logística,2718,0.594,0.5547,-0.005,0.4915,0.669,0.674
DP ε=1.0,Regresión Logística,3141,0.594,0.5447,-0.0166,0.4894,0.6506,0.6672
DP ε=1.0,Regresión Logística,6022,0.594,0.5517,-0.0168,0.4943,0.672,0.6888
DP ε=1.0,Regresión Logística,8128,0.594,0.5537,-0.002,0.4919,0.6632,0.6652
DP ε=1.0,Regresión Logística,9999,0.594,0.5675,0.0206,0.5024,0.6818,0.6612
DP ε=1.0,Regresión Logística,10007,0.594,0.5663,0.0068,0.5068,0.692,0.6852
DP ε=1.0,Regresión Logística,11113,0.594,0.5647,0.0164,0.5061,0.6776,0.6612
DP ε=1.0,Regresión Logística,13121,0.594,0.5479,-0.0126,0.5007,0.6562,0.6688
DP ε=1.0,Regresión Logística,17171,0.594,0.5556,-0.009,0.4895,0.6758,0.6848
DP ε=1.0,Regresión Logística,19273,0.594,0.5635,0.0126,0.5069,0.6778,0.6652
DP ε=1.0,Regresión Logística,23131,0.594,0.5547,-0.0042,0.4978,0.6682,0.6724
DP ε=1.0,Regresión Logística,29327,0.594,0.5609,0.0056,0.5054,0.6772,0.6716
DP ε=1.0,Regresión Logística,31193,0.594,0.5516,-0.0066,0.5003,0.6614,0.668
DP ε=1.0,Regresión Logística,33391,0.594,0.5635,0.011,0.5011,0.6794,0.6684
DP ε=1.0,Regresión Logística,37397,0.594,0.5491,-0.016,0.4839,0.6632,0.6792
DP ε=10.0,Regresión Logística,42,0.6175,0.5571,0.006,0.5082,0.6652,0.6592
DP ε=10.0,Regresión Logística,137,0.6175,0.5521,-0.0074,0.4855,0.6638,0.6712
DP ε=10.0,Regresión Logística,271,0.6175,0.5552,0.0018,0.5031,0.6638,0.662
DP ε=10.0,Regresión Logística,314,0.6175,0.5556,0.0012,0.5007,0.6656,0.6644
DP ε=10.0,Regresión Logística,1729,0.6175,0.5548,-0.0102,0.4924,0.6746,0.6848
